Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev,year,month,day
UB-Even,9,3404.0060855,514957.975198,11.8218084297,4.78413527333,64,17.341424420476,0.270959756569937,0.271436631679535,0.0517466606240044,2021,8,5
UB-Variable,10,2651.2030947,388149.557821,8.91068773693,3.60604181377,49,10.6863860040903,0.218089510287557,0.214631527662277,0.0641560697949148,2021,8,5
UB-Variable,8,2753.98254495,450548.637409,10.3431734942,4.1857505513,62,14.9204352870584,0.240652182049328,0.238290958106518,0.0555904105377369,2021,8,5
UB-Control,7,2491.50702099,392657.142759,9.01416764827,3.64791881566,53,17.5219193845987,0.330602252539599,0.338318079710007,0.0735345382578224,2021,8,5
UB-Control,12,2744.57965877,375284.051603,8.61533635453,3.4865168718,50,15.3696498721838,0.307392997443676,0.306670874357224,0.0607600334772717,2021,8,5
UB-Even,11,2665.86226499,389837.148948,8.94942949836,3.62172011109,52,11.7621440589428,0.226195078056592,0.23262120038271,0.0459750269742364,2021,8,5
B-Variable,2,2800.90096435,488749.526248,11.2201452307,4.54064984128,65,19.0366737544537,0.292871903914672,0.292845815420151,0.0643044390629698,2021,8,5
B-Even,1,2966.60299639,423537.986534,9.72309427306,3.93481238969,58,14.4553773403168,0.249230643798565,0.25169637799263,0.0839086885832079,2021,8,5
B-Control,3,2782.19010868,458793.163721,10.532441775,4.26234501345,62,13.7591664269567,0.221922039144462,0.219469010829926,0.0710207380921175,2021,8,5
UB-Even,4,2764.87621788,457395.812155,10.5003629971,4.24936314068,60,19.577202424407,0.32628670707345,0.327613264322281,0.047213136302401,2021,8,5
UB-Control,6,2777.1700766,444069.711323,10.1944378173,4.12555911761,57,21.1151458919048,0.37044115599833,0.377414971590042,0.0448333685125351,2021,8,5
UB-Variable,5,2731.45432459,483908.321871,11.1090064709,4.49567340098,67,17.621846832335,0.263012639288582,0.267417907714844,0.0720250868980439,2021,8,5
B-Variable,15,3698.76877483,476636.486329,10.9420680976,4.42811556794,66,15.8741741254926,0.240517789780191,0.24228648096323,0.0546592058629543,2021,8,5
