"","Blocktype","UnitNo","Perimeter","Area","Acres","Hectares","ndwi_count","ndwi_sum","ndwi_mean","ndwi_median","ndwi_stdev","year","month","day"
"162","UB-Even",24,3223.35355911,514404.408237,11.8091002809,4.77899244741,0,0,NA,NA,NA,2019,7,20
"163","UB-Control",20,3412.58177941,499731.83655,11.4722643836,4.64267925073,0,0,NA,NA,NA,2019,7,20
"164","B-Variable",22,2964.3261264,453367.110783,10.4078767397,4.2119351305,0,0,NA,NA,NA,2019,7,20
"165","UB-Variable",21,3088.85955111,468369.04931,10.7522738593,4.35130825749,0,0,NA,NA,NA,2019,7,20
"166","B-Even",23,3183.03031461,443218.40206,10.1748944458,4.11765016411,0,0,NA,NA,NA,2019,7,20
"167","B-Even",13,3150.56651384,561911.370882,12.8997100753,5.22034833792,0,0,NA,NA,NA,2019,7,20
"168","B-Control",14,2912.50507204,477916.074104,10.9714433908,4.44000337491,0,0,NA,NA,NA,2019,7,20
"169","UB-Even",9,3404.0060855,514957.975198,11.8218084297,4.78413527333,64,17.1266860216856,0.267604469088838,0.256902471184731,0.0592957637871108,2019,7,28
"170","UB-Variable",10,2651.2030947,388149.557821,8.91068773693,3.60604181377,49,10.3753943964839,0.211742742785386,0.220654085278511,0.0622156668454412,2019,7,28
"171","UB-Variable",8,2753.98254495,450548.637409,10.3431734942,4.1857505513,62,13.9714376926422,0.225345769236165,0.233851678669453,0.0553113485496713,2019,7,28
"172","UB-Control",7,2491.50702099,392657.142759,9.01416764827,3.64791881566,53,17.5873069837689,0.331835980825829,0.34133118391037,0.0784354899983452,2019,7,28
"173","UB-Control",12,2744.57965877,375284.051603,8.61533635453,3.4865168718,50,15.521005704999,0.310420114099979,0.302659869194031,0.059555663753904,2019,7,28
"174","UB-Even",11,2665.86226499,389837.148948,8.94942949836,3.62172011109,52,11.4853197038174,0.220871532765719,0.219268694519997,0.0618389767562398,2019,7,28
"175","B-Variable",2,2800.90096435,488749.526248,11.2201452307,4.54064984128,65,17.0889574289322,0.262907037368188,0.260129183530807,0.0739310765061925,2019,7,28
"176","B-Even",1,2966.60299639,423537.986534,9.72309427306,3.93481238969,58,14.3245798833668,0.246975515230462,0.25956130027771,0.085757396958157,2019,7,28
"177","B-Control",3,2782.19010868,458793.163721,10.532441775,4.26234501345,62,13.9677098020911,0.225285641969212,0.220926471054554,0.0832697275295424,2019,7,28
"178","UB-Even",4,2764.87621788,457395.812155,10.5003629971,4.24936314068,60,18.8179537504911,0.313632562508186,0.311278432607651,0.0542090280544185,2019,7,28
"179","UB-Control",6,2777.1700766,444069.711323,10.1944378173,4.12555911761,57,21.5566570013762,0.378186964936424,0.379994779825211,0.0526812153588695,2019,7,28
"180","UB-Variable",5,2731.45432459,483908.321871,11.1090064709,4.49567340098,67,17.2591619044542,0.257599431409765,0.260009437799454,0.0702742759092707,2019,7,28
"181","B-Variable",15,3698.76877483,476636.486329,10.9420680976,4.42811556794,66,16.2793482840061,0.246656792181911,0.240465834736824,0.0515195897877061,2019,7,28
"182","B-Even",17,3448.17244987,447617.681657,10.2758880086,4.15852097243,56,11.7370375618339,0.209589956461319,0.219611749053001,0.0559008868981433,2019,7,28
"183","B-Control",19,3641.41059676,441134.064611,10.1270446421,4.09828595812,57,15.3786443993449,0.269800778935876,0.278301179409027,0.0592302349576029,2019,7,28
"184","B-Variable",18,3742.6030869,491434.487647,11.281783463,4.56559404869,65,15.047580294311,0.231501235297093,0.229098945856094,0.0598709790321131,2019,7,28
"185","B-Control",16,3509.87652099,510553.562694,11.7206970315,4.74321677856,64,17.7267353832722,0.276980240363628,0.264472112059593,0.0694534073612892,2019,7,28
"186","UB-Even",24,3223.35355911,514404.408237,11.8091002809,4.77899244741,70,18.7509610429406,0.267870872042009,0.278833657503128,0.0731888967564973,2019,7,28
"187","UB-Control",20,3412.58177941,499731.83655,11.4722643836,4.64267925073,62,19.2990440130234,0.311274903435861,0.324013873934746,0.0653265730424986,2019,7,28
"188","B-Variable",22,2964.3261264,453367.110783,10.4078767397,4.2119351305,56,14.0332772433758,0.250594236488853,0.246621407568455,0.0799352857509642,2019,7,28
"189","UB-Variable",21,3088.85955111,468369.04931,10.7522738593,4.35130825749,58,13.1177933961153,0.22616885165716,0.235092148184776,0.062707569645624,2019,7,28
"190","B-Even",23,3183.03031461,443218.40206,10.1748944458,4.11765016411,59,17.2755339890718,0.292805660831726,0.291906863451004,0.0549013641709973,2019,7,28
"191","B-Even",13,3150.56651384,561911.370882,12.8997100753,5.22034833792,67,16.0192097201943,0.23909268239096,0.23522461950779,0.0565846359234675,2019,7,28
"192","B-Control",14,2912.50507204,477916.074104,10.9714433908,4.44000337491,64,16.9646029099822,0.265071920468472,0.256425410509109,0.0540511774286618,2019,7,28
"193","UB-Even",9,3404.0060855,514957.975198,11.8218084297,4.78413527333,0,0,NA,NA,NA,2019,8,5
"194","UB-Variable",10,2651.2030947,388149.557821,8.91068773693,3.60604181377,0,0,NA,NA,NA,2019,8,5
"195","UB-Variable",8,2753.98254495,450548.637409,10.3431734942,4.1857505513,0,0,NA,NA,NA,2019,8,5
"196","UB-Control",7,2491.50702099,392657.142759,9.01416764827,3.64791881566,0,0,NA,NA,NA,2019,8,5
"197","UB-Control",12,2744.57965877,375284.051603,8.61533635453,3.4865168718,0,0,NA,NA,NA,2019,8,5
"198","UB-Even",11,2665.86226499,389837.148948,8.94942949836,3.62172011109,0,0,NA,NA,NA,2019,8,5
"199","B-Variable",2,2800.90096435,488749.526248,11.2201452307,4.54064984128,0,0,NA,NA,NA,2019,8,5
"200","B-Even",1,2966.60299639,423537.986534,9.72309427306,3.93481238969,0,0,NA,NA,NA,2019,8,5
"201","B-Control",3,2782.19010868,458793.163721,10.532441775,4.26234501345,0,0,NA,NA,NA,2019,8,5
"202","UB-Even",4,2764.87621788,457395.812155,10.5003629971,4.24936314068,0,0,NA,NA,NA,2019,8,5
"203","UB-Control",6,2777.1700766,444069.711323,10.1944378173,4.12555911761,0,0,NA,NA,NA,2019,8,5
"204","UB-Variable",5,2731.45432459,483908.321871,11.1090064709,4.49567340098,0,0,NA,NA,NA,2019,8,5
"205","B-Variable",15,3698.76877483,476636.486329,10.9420680976,4.42811556794,0,0,NA,NA,NA,2019,8,5
"206","B-Even",17,3448.17244987,447617.681657,10.2758880086,4.15852097243,0,0,NA,NA,NA,2019,8,5
"207","B-Control",19,3641.41059676,441134.064611,10.1270446421,4.09828595812,0,0,NA,NA,NA,2019,8,5
"208","B-Variable",18,3742.6030869,491434.487647,11.281783463,4.56559404869,0,0,NA,NA,NA,2019,8,5
"209","B-Control",16,3509.87652099,510553.562694,11.7206970315,4.74321677856,0,0,NA,NA,NA,2019,8,5
"210","UB-Even",24,3223.35355911,514404.408237,11.8091002809,4.77899244741,0,0,NA,NA,NA,2019,8,5
"211","UB-Control",20,3412.58177941,499731.83655,11.4722643836,4.64267925073,0,0,NA,NA,NA,2019,8,5
"212","B-Variable",22,2964.3261264,453367.110783,10.4078767397,4.2119351305,0,0,NA,NA,NA,2019,8,5
"213","UB-Variable",21,3088.85955111,468369.04931,10.7522738593,4.35130825749,0,0,NA,NA,NA,2019,8,5
"214","B-Even",23,3183.03031461,443218.40206,10.1748944458,4.11765016411,0,0,NA,NA,NA,2019,8,5
"215","B-Even",13,3150.56651384,561911.370882,12.8997100753,5.22034833792,0,0,NA,NA,NA,2019,8,5
"216","B-Control",14,2912.50507204,477916.074104,10.9714433908,4.44000337491,0,0,NA,NA,NA,2019,8,5
"217","UB-Even",9,3404.0060855,514957.975198,11.8218084297,4.78413527333,64,18.8901842534542,0.295159128960222,0.286072015762329,0.0579610378536538,2019,8,13
"218","UB-Variable",10,2651.2030947,388149.557821,8.91068773693,3.60604181377,49,11.3094630762935,0.230805368903948,0.244380384683609,0.0675027160165327,2019,8,13
"219","UB-Variable",8,2753.98254495,450548.637409,10.3431734942,4.1857505513,62,15.0946639329195,0.243462321498702,0.251965120434761,0.0564606168861849,2019,8,13
"220","UB-Control",7,2491.50702099,392657.142759,9.01416764827,3.64791881566,53,18.9099775701761,0.356792029625965,0.370950311422348,0.0716186100655914,2019,8,13
"221","UB-Control",12,2744.57965877,375284.051603,8.61533635453,3.4865168718,50,16.2202444523573,0.324404889047146,0.311602428555489,0.0669838062480379,2019,8,13
"222","UB-Even",11,2665.86226499,389837.148948,8.94942949836,3.62172011109,52,12.8020865768194,0.246193972631143,0.235894903540611,0.0528543194423605,2019,8,13
"223","B-Variable",2,2800.90096435,488749.526248,11.2201452307,4.54064984128,65,18.2769012451172,0.281183096078726,0.274078696966171,0.0712544507500574,2019,8,13
"224","B-Even",1,2966.60299639,423537.986534,9.72309427306,3.93481238969,58,15.8067828342319,0.272530738521239,0.270697519183159,0.0822940499517709,2019,8,13
"225","B-Control",3,2782.19010868,458793.163721,10.532441775,4.26234501345,62,15.1448922678828,0.244272455933594,0.245740815997124,0.0779435641008737,2019,8,13
"226","UB-Even",4,2764.87621788,457395.812155,10.5003629971,4.24936314068,60,20.6519230753183,0.344198717921972,0.345047190785408,0.0490931102840063,2019,8,13
"227","UB-Control",6,2777.1700766,444069.711323,10.1944378173,4.12555911761,57,22.7297301888466,0.398767196295554,0.409171909093857,0.0502006678847782,2019,8,13
"228","UB-Variable",5,2731.45432459,483908.321871,11.1090064709,4.49567340098,67,18.9781516119838,0.283255994208713,0.277616888284683,0.0724812824771468,2019,8,13
"229","B-Variable",15,3698.76877483,476636.486329,10.9420680976,4.42811556794,66,16.4840236008167,0.249757933345708,0.245881453156471,0.0498204957373071,2019,8,13
